구,일평균 유동인구,행정동
동구,205457.88810958902,중앙동
동구,205457.88810958902,신인동
동구,205457.88810958902,효동
동구,205457.88810958902,판암1동
동구,205457.88810958902,판암2동
동구,205457.88810958902,용운동
동구,205457.88810958902,대동
동구,205457.88810958902,자양동
동구,205457.88810958902,가양1동
동구,205457.88810958902,가양2동
동구,205457.88810958902,용전동
동구,205457.88810958902,성남동
동구,205457.88810958902,홍도동
동구,205457.88810958902,삼성동
동구,205457.88810958902,대청동
동구,205457.88810958902,산내동
중구,187686.1346780822,은행선화동
중구,187686.1346780822,목동
중구,187686.1346780822,중촌동
중구,187686.1346780822,대흥동
중구,187686.1346780822,문창동
중구,187686.1346780822,석교동
중구,187686.1346780822,대사동
중구,187686.1346780822,부사동
중구,187686.1346780822,용두동
중구,187686.1346780822,오류동
중구,187686.1346780822,태평1동
중구,187686.1346780822,태평2동
중구,187686.1346780822,유천1동
중구,187686.1346780822,유천2동
중구,187686.1346780822,문화1동
중구,187686.1346780822,문화2동
중구,187686.1346780822,산성동
서구,662921.4844726027,복수동
서구,662921.4844726027,도마1동
서구,662921.4844726027,도마2동
서구,662921.4844726027,정림동
서구,662921.4844726027,변동
서구,662921.4844726027,용문동
서구,662921.4844726027,탄방동
서구,662921.4844726027,둔산1동
서구,662921.4844726027,둔산2동
서구,662921.4844726027,둔산3동
서구,662921.4844726027,괴정동
서구,662921.4844726027,가장동
서구,662921.4844726027,내동
서구,662921.4844726027,갈마1동
서구,662921.4844726027,갈마2동
서구,662921.4844726027,월평1동
서구,662921.4844726027,월평2동
서구,662921.4844726027,월평3동
서구,662921.4844726027,만년동
서구,662921.4844726027,가수원동
서구,662921.4844726027,도안동
서구,662921.4844726027,관저1동
서구,662921.4844726027,관저2동
서구,662921.4844726027,기성동
유성구,160819.22119863014,진잠동
유성구,160819.22119863014,학하동
유성구,160819.22119863014,원신흥동
유성구,160819.22119863014,상대동
유성구,160819.22119863014,온천1동
유성구,160819.22119863014,온천2동
유성구,160819.22119863014,노은1동
유성구,160819.22119863014,노은2동
유성구,160819.22119863014,노은3동
유성구,160819.22119863014,신성동
유성구,160819.22119863014,전민동
유성구,160819.22119863014,구즉동
유성구,160819.22119863014,관평동
대덕구,206111.0088219178,오정동
대덕구,206111.0088219178,대화동
대덕구,206111.0088219178,회덕동
대덕구,206111.0088219178,비래동
대덕구,206111.0088219178,송촌동
대덕구,206111.0088219178,중리동
대덕구,206111.0088219178,법1동
대덕구,206111.0088219178,법2동
대덕구,206111.0088219178,신탄진동
대덕구,206111.0088219178,석봉동
대덕구,206111.0088219178,덕암동
대덕구,206111.0088219178,목상동
