사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,행정동
6690865,2021028,3011011500,30110001,대전광역시 동구1,대전광역시 동구 용전동(동부네거리 부근),5,5,0,2,3,0,127.4413252,36.35065942,"{""type"":""Polygon"",""coordinates"":[[[127.44312185,36.35065942],[127.44308733,36.35037712],[127.44298509,36.35010567],[127.44281907,36.3498555],[127.44259563,36.34963622],[127.44232338,36.34945626],[127.44201276,36.34932254],[127.44167573,36.34924019],[127.44132522,36.34921239],[127.44097472,36.34924019],[127.44063768,36.34932254],[127.44032707,36.34945626],[127.44005481,36.34963622],[127.43983138,36.3498555],[127.43966535,36.35010567],[127.43956311,36.35037712],[127.43952859,36.35065942],[127.43956311,36.35094172],[127.43966535,36.35121316],[127.43983138,36.35146333],[127.44005481,36.35168261],[127.44032707,36.35186256],[127.44063768,36.35199627],[127.44097472,36.35207862],[127.44132522,36.35210642],[127.44167573,36.35207862],[127.44201276,36.35199627],[127.44232338,36.35186256],[127.44259563,36.35168261],[127.44281907,36.35146333],[127.44298509,36.35121316],[127.44308733,36.35094172],[127.44312185,36.35065942]]]}",가양1동
6689592,2021028,3011010100,30110002,대전광역시 동구2,대전광역시 동구 원동(중앙시장삼거리 부근),4,4,1,0,3,0,127.433996,36.32878623,"{""type"":""Polygon"",""coordinates"":[[[127.43579267,36.32878623],[127.43575815,36.32850385],[127.43565591,36.32823232],[127.43548989,36.32798208],[127.43526645,36.32776274],[127.4349942,36.32758273],[127.43468358,36.32744897],[127.43434655,36.32736661],[127.43399604,36.32733879],[127.43364554,36.32736661],[127.4333085,36.32744897],[127.43299789,36.32758273],[127.43272563,36.32776274],[127.4325022,36.32798208],[127.43233617,36.32823232],[127.43223393,36.32850385],[127.43219941,36.32878623],[127.43223393,36.3290686],[127.43233617,36.32934013],[127.4325022,36.32959037],[127.43272563,36.3298097],[127.43299789,36.3299897],[127.4333085,36.33012346],[127.43364554,36.33020582],[127.43399604,36.33023363],[127.43434655,36.33020582],[127.43468358,36.33012346],[127.4349942,36.3299897],[127.43526645,36.3298097],[127.43548989,36.32959037],[127.43565591,36.32934013],[127.43575815,36.3290686],[127.43579267,36.32878623]]]}",중앙동
6687446,2021028,3014010500,30140001,대전광역시 중구1,대전광역시 중구 대흥동(대흥동네거리 부근),5,5,1,2,2,0,127.4275493,36.32395331,"{""type"":""Polygon"",""coordinates"":[[[127.42934592,36.32395331],[127.4293114,36.32367092],[127.42920916,36.32339937],[127.42904314,36.32314911],[127.4288197,36.32292976],[127.42854745,36.32274974],[127.42823683,36.32261598],[127.4278998,36.3225336],[127.42754929,36.32250579],[127.42719879,36.3225336],[127.42686175,36.32261598],[127.42655114,36.32274974],[127.42627888,36.32292976],[127.42605545,36.32314911],[127.42588942,36.32339937],[127.42578718,36.32367092],[127.42575266,36.32395331],[127.42578718,36.32423571],[127.42588942,36.32450725],[127.42605545,36.3247575],[127.42627888,36.32497685],[127.42655114,36.32515686],[127.42686175,36.32529063],[127.42719879,36.325373],[127.42754929,36.32540081],[127.4278998,36.325373],[127.42823683,36.32529063],[127.42854745,36.32515686],[127.4288197,36.32497685],[127.42904314,36.3247575],[127.42920916,36.32450725],[127.4293114,36.32423571],[127.42934592,36.32395331]]]}",대흥동
6687413,2021028,3014010500,30140002,대전광역시 중구2,대전광역시 중구 대흥동(예술가의집네거리 부근),5,5,0,0,5,0,127.4158635,36.32283676,"{""type"":""Polygon"",""coordinates"":[[[127.41766009,36.32283676],[127.41762557,36.32255436],[127.41752333,36.32228281],[127.4173573,36.32203255],[127.41713387,36.32181319],[127.41686161,36.32163317],[127.416551,36.3214994],[127.41621396,36.32141703],[127.41586346,36.32138921],[127.41551295,36.32141703],[127.41517592,36.3214994],[127.4148653,36.32163317],[127.41459305,36.32181319],[127.41436962,36.32203255],[127.41420359,36.32228281],[127.41410135,36.32255436],[127.41406683,36.32283676],[127.41410135,36.32311916],[127.41420359,36.3233907],[127.41436962,36.32364096],[127.41459305,36.32386031],[127.4148653,36.32404033],[127.41517592,36.32417409],[127.41551295,36.32425646],[127.41586346,36.32428428],[127.41621396,36.32425646],[127.416551,36.32417409],[127.41686161,36.32404033],[127.41713387,36.32386031],[127.4173573,36.32364096],[127.41752333,36.3233907],[127.41762557,36.32311916],[127.41766009,36.32283676]]]}",문화1동
6689593,2021028,3014011400,30140003,대전광역시 중구3,대전광역시 중구 태평동(서대전농협북부지점 부근),5,5,0,0,5,0,127.3959192,36.32299836,"{""type"":""Polygon"",""coordinates"":[[[127.39771582,36.32299836],[127.3976813,36.32271596],[127.39757906,36.32244441],[127.39741303,36.32219415],[127.3971896,36.32197479],[127.39691734,36.32179477],[127.39660673,36.32166101],[127.39626969,36.32157863],[127.39591919,36.32155082],[127.39556868,36.32157863],[127.39523165,36.32166101],[127.39492104,36.32179477],[127.39464878,36.32197479],[127.39442535,36.32219415],[127.39425932,36.32244441],[127.39415708,36.32271596],[127.39412256,36.32299836],[127.39415708,36.32328076],[127.39425932,36.3235523],[127.39442535,36.32380256],[127.39464878,36.32402191],[127.39492104,36.32420193],[127.39523165,36.32433569],[127.39556868,36.32441806],[127.39591919,36.32444587],[127.39626969,36.32441806],[127.39660673,36.32433569],[127.39691734,36.32420193],[127.3971896,36.32402191],[127.39741303,36.32380256],[127.39757906,36.3235523],[127.3976813,36.32328076],[127.39771582,36.32299836]]]}",태평1동
6687351,2021028,3014011500,30140004,대전광역시 중구4,대전광역시 중구 유천동(버드내네거리 부근),4,4,0,0,3,1,127.3918069,36.3171016,"{""type"":""Polygon"",""coordinates"":[[[127.39360355,36.3171016],[127.39356903,36.31681918],[127.39346679,36.31654761],[127.39330076,36.31629734],[127.39307733,36.31607796],[127.39280507,36.31589793],[127.39249446,36.31576415],[127.39215742,36.31568177],[127.39180692,36.31565395],[127.39145641,36.31568177],[127.39111938,36.31576415],[127.39080876,36.31589793],[127.39053651,36.31607796],[127.39031307,36.31629734],[127.39014705,36.31654761],[127.39004481,36.31681918],[127.39001029,36.3171016],[127.39004481,36.31738402],[127.39014705,36.31765559],[127.39031307,36.31790586],[127.39053651,36.31812523],[127.39080876,36.31830526],[127.39111938,36.31843904],[127.39145641,36.31852141],[127.39180692,36.31854923],[127.39215742,36.31852141],[127.39249446,36.31843904],[127.39280507,36.31830526],[127.39307733,36.31812523],[127.39330076,36.31790586],[127.39346679,36.31765559],[127.39356903,36.31738402],[127.39360355,36.3171016]]]}",유천1동
6687294,2021028,3017011000,30170001,대전광역시 서구1,대전광역시 서구 내동(가장네거리 부근),5,5,0,1,4,0,127.3844334,36.33136616,"{""type"":""Polygon"",""coordinates"":[[[127.38623,36.33136616],[127.38619547,36.33108379],[127.38609324,36.33081227],[127.38592721,36.33056204],[127.38570377,36.33034271],[127.38543152,36.3301627],[127.38512091,36.33002895],[127.38478387,36.32994658],[127.38443336,36.32991877],[127.38408286,36.32994658],[127.38374582,36.33002895],[127.38343521,36.3301627],[127.38316296,36.33034271],[127.38293952,36.33056204],[127.38277349,36.33081227],[127.38267126,36.33108379],[127.38263673,36.33136616],[127.38267126,36.33164853],[127.38277349,36.33192004],[127.38293952,36.33217027],[127.38316296,36.3323896],[127.38343521,36.3325696],[127.38374582,36.33270335],[127.38408286,36.33278571],[127.38443336,36.33281352],[127.38478387,36.33278571],[127.38512091,36.33270335],[127.38543152,36.3325696],[127.38570377,36.3323896],[127.38592721,36.33217027],[127.38609324,36.33192004],[127.38619547,36.33164853],[127.38623,36.33136616]]]}",가장동
6690866,2021028,3017010600,30170002,대전광역시 서구2,대전광역시 서구 탄방동(남선공원네거리 부근),4,4,0,4,0,0,127.4018733,36.34494537,"{""type"":""Polygon"",""coordinates"":[[[127.40366996,36.34494537],[127.40363544,36.34466305],[127.4035332,36.34439158],[127.40336717,36.34414139],[127.40314374,36.3439221],[127.40287149,36.34374212],[127.40256087,36.34360839],[127.40222384,36.34352604],[127.40187333,36.34349824],[127.40152283,36.34352604],[127.40118579,36.34360839],[127.40087518,36.34374212],[127.40060292,36.3439221],[127.40037949,36.34414139],[127.40021346,36.34439158],[127.40011122,36.34466305],[127.4000767,36.34494537],[127.40011122,36.34522769],[127.40021346,36.34549916],[127.40037949,36.34574934],[127.40060292,36.34596863],[127.40087518,36.3461486],[127.40118579,36.34628232],[127.40152283,36.34636467],[127.40187333,36.34639248],[127.40222384,36.34636467],[127.40256087,36.34628232],[127.40287149,36.3461486],[127.40314374,36.34596863],[127.40336717,36.34574934],[127.4035332,36.34549916],[127.40363544,36.34522769],[127.40366996,36.34494537]]]}",탄방동
6687279,2021028,3017012800,30170003,대전광역시 서구3,대전광역시 서구 만년동(만년네거리 부근),4,5,0,3,2,0,127.3785203,36.36502385,"{""type"":""Polygon"",""coordinates"":[[[127.38031694,36.36502385],[127.38028242,36.3647416],[127.38018018,36.3644702],[127.38001415,36.36422007],[127.37979072,36.36400084],[127.37951846,36.36382091],[127.37920785,36.36368722],[127.37887082,36.36360489],[127.37852031,36.36357709],[127.3781698,36.36360489],[127.37783277,36.36368722],[127.37752216,36.36382091],[127.3772499,36.36400084],[127.37702647,36.36422007],[127.37686044,36.3644702],[127.3767582,36.3647416],[127.37672368,36.36502385],[127.3767582,36.36530609],[127.37686044,36.36557749],[127.37702647,36.36582761],[127.3772499,36.36604685],[127.37752216,36.36622676],[127.37783277,36.36636046],[127.3781698,36.36644278],[127.37852031,36.36647058],[127.37887082,36.36644278],[127.37920785,36.36636046],[127.37951846,36.36622676],[127.37979072,36.36604685],[127.38001415,36.36582761],[127.38018018,36.36557749],[127.38028242,36.36530609],[127.38031694,36.36502385]]]}",만년동
6689594,2021028,3017011200,30170004,대전광역시 서구4,대전광역시 서구 둔산동(은하수네거리 부근),4,4,0,2,2,0,127.3783165,36.3516015,"{""type"":""Polygon"",""coordinates"":[[[127.38011315,36.3516015],[127.38007863,36.3513192],[127.37997639,36.35104775],[127.37981037,36.35079759],[127.37958693,36.35057831],[127.37931468,36.35039835],[127.37900406,36.35026464],[127.37866703,36.35018229],[127.37831652,36.35015449],[127.37796602,36.35018229],[127.37762898,36.35026464],[127.37731837,36.35039835],[127.37704611,36.35057831],[127.37682268,36.35079759],[127.37665665,36.35104775],[127.37655441,36.3513192],[127.37651989,36.3516015],[127.37655441,36.35188379],[127.37665665,36.35215524],[127.37682268,36.3524054],[127.37704611,36.35262467],[127.37731837,36.35280462],[127.37762898,36.35293834],[127.37796602,36.35302068],[127.37831652,36.35304848],[127.37866703,36.35302068],[127.37900406,36.35293834],[127.37931468,36.35280462],[127.37958693,36.35262467],[127.37981037,36.3524054],[127.37997639,36.35215524],[127.38007863,36.35188379],[127.38011315,36.3516015]]]}",둔산2동
