행정동,면적,주민등록인구,유동인구,인구밀도,신고건수,사고발생건수,ECLO
효동,2.087249573,23769,205457.8881,11387.71343,1035,0.0,0.0
판암1동,6.044410388,12069,205457.8881,1996.720809,786,0.0,0.0
판암2동,0.761825838,8150,205457.8881,10697.98318,377,0.0,0.0
용운동,3.5044769,21464,205457.8881,6124.73719,731,0.0,0.0
자양동,1.16170116,10850,205457.8881,9339.751369,768,0.0,0.0
가양1동,0.941995506,13098,205457.8881,13904.52493,857,25.0,40.0
가양2동,1.775014871,18550,205457.8881,10450.61667,1097,26.0,30.666666666666668
용전동,1.233436704,20249,205457.8881,16416.73216,1830,32.0,38.666666666666664
홍도동,0.653002944,10739,205457.8881,16445.56138,743,16.0,25.0
대청동,63.3425721,2325,205457.8881,36.70517194,596,0.0,0.0
산내동,50.03509232,19973,205457.8881,399.1798371,1152,0.0,0.0
중앙동 (대전),1.305747785,4129,205457.8881,3162.172701,1707,17.0,23.333333333333332
신인동,0.824215159,15188,205457.8881,18427.2272,755,17.0,23.333333333333332
대동,0.771134455,14186,205457.8881,18396.27306,666,0.0,0.0
성남동,0.881796362,11193,205457.8881,12693.40687,840,37.0,58.666666666666664
삼성동,1.326395259,13576,205457.8881,10235.25974,1063,9.0,12.333333333333334
은행선화동,1.451268727,14645,187686.1347,10091.17039,1757,4.0,6.0
목동,0.70832588,16561,187686.1347,23380.48131,403,0.0,0.0
중촌동,1.303076249,13925,187686.1347,10686.2511,7027,9.0,13.666666666666666
대흥동,1.211149793,13339,187686.1347,11013.50145,1735,15.0,21.333333333333332
문창동,0.49148588,4436,187686.1347,9025.691643,397,0.0,0.0
석교동,3.995086413,15123,187686.1347,3785.399973,755,4.0,5.333333333333333
대사동,2.340570181,5406,187686.1347,2309.693614,890,4.0,5.333333333333333
부사동,1.091504702,6590,187686.1347,6037.536978,556,0.0,0.0
용두동,0.750598798,9225,187686.1347,12290.18755,625,8.0,11.333333333333334
오류동,0.656753003,10508,187686.1347,15999.92684,1294,38.0,55.666666666666664
태평1동,0.505332723,12932,187686.1347,25591.05993,641,14.0,17.333333333333332
태평2동,0.955028599,24927,187686.1347,26100.78905,849,17.0,27.333333333333332
유천1동,0.596153072,6069,187686.1347,10180.27128,754,22.0,23.666666666666668
유천2동,0.662866459,13399,187686.1347,20213.72453,845,4.0,3.3333333333333335
문화1동,2.228874938,20992,187686.1347,9418.204513,1144,10.0,12.0
문화2동,1.287735417,12052,187686.1347,9359.065411,548,0.0,0.0
산성동,41.71378912,26651,187686.1347,638.9014415,1832,11.0,16.0
복수동,1.879309,21934,662921.4845,11671.3111,778,0.0,0.0
도마1동,1.295851269,18634,662921.4845,14379.73666,1377,7.0,11.666666666666666
도마2동,2.172574383,16980,662921.4845,7815.612728,1057,4.0,4.666666666666667
정림동,6.495957736,15629,662921.4845,2405.957772,844,0.0,0.0
