,시도,구/군 읍면동,면적(km^2),시/군/구,읍면동
0,대전광역시,동구 효동,2.0872495727482443,동구,효동
1,대전광역시,동구 판암1동,6.0444104416979325,동구,판암1동
2,대전광역시,동구 판암2동,0.761825784168176,동구,판암2동
3,대전광역시,동구 용운동,3.5044769268286813,동구,용운동
4,대전광역시,동구 자양동,1.1617011604739702,동구,자양동
5,대전광역시,동구 가양1동,0.9419955055441318,동구,가양1동
6,대전광역시,동구 가양2동,1.7750148709308762,동구,가양2동
7,대전광역시,동구 용전동,1.2334367310895378,동구,용전동
8,대전광역시,동구 홍도동,0.6530029713132762,동구,홍도동
9,대전광역시,동구 대청동,63.34257210190505,동구,대청동
10,대전광역시,동구 산내동,50.035092315410445,동구,산내동
11,대전광역시,동구 중앙동,1.305747784666933,동구,중앙동 (대전)
12,대전광역시,동구 신인동,0.8242151859927707,동구,신인동
13,대전광역시,동구 대동,0.7711344278879595,동구,대동
14,대전광역시,동구 성남동,0.8817963894034014,동구,성남동
15,대전광역시,동구 삼성동,1.3263952594684616,동구,삼성동
16,대전광역시,중구 은행선화동,1.4512687534135849,중구,은행선화동
17,대전광역시,중구 목동,0.7083258801252277,중구,목동
18,대전광역시,중구 중촌동,1.303076276304341,중구,중촌동
19,대전광역시,중구 대흥동,1.2111497662874506,중구,대흥동
20,대전광역시,중구 문창동,0.4914858534832346,중구,문창동
21,대전광역시,중구 석교동,3.995086412852086,중구,석교동
22,대전광역시,중구 대사동,2.3405702079719677,중구,대사동
23,대전광역시,중구 부사동,1.0915047291056148,중구,부사동
24,대전광역시,중구 용두동,0.7505988249614824,중구,용두동
25,대전광역시,중구 오류동,0.656753002513668,중구,오류동
26,대전광역시,중구 태평1동,0.5053326421025881,중구,태평1동
27,대전광역시,중구 태평2동,0.955028599087245,중구,태평2동
28,대전광역시,중구 유천1동,0.5961530724759269,중구,유천1동
29,대전광역시,중구 유천2동,0.6628664858848312,중구,유천2동
30,대전광역시,중구 문화1동,2.228874910837023,중구,문화1동
31,대전광역시,중구 문화2동,1.2877354171509254,중구,문화2동
32,대전광역시,중구 산성동,41.71378917436539,중구,산성동
33,대전광역시,서구 복수동,1.8793090268969728,서구,복수동
34,대전광역시,서구 도마1동,1.295851295795754,서구,도마1동
35,대전광역시,서구 도마2동,2.1725743563089135,서구,도마2동
36,대전광역시,서구 정림동,6.495957789656517,서구,정림동
37,대전광역시,서구 변동,1.514931926258242,서구,변동
38,대전광역시,서구 용문동,0.9930362942367855,서구,용문동
39,대전광역시,서구 탄방동,1.6029141178275026,서구,탄방동
40,대전광역시,서구 둔산1동,0.9384005590920634,서구,둔산1동
41,대전광역시,서구 둔산2동,2.4896839987100683,서구,둔산2동
42,대전광역시,서구 괴정동,1.2346785555438493,서구,괴정동
43,대전광역시,서구 가장동,0.6379553705346643,서구,가장동
44,대전광역시,서구 내동,1.017216560919914,서구,내동
45,대전광역시,서구 갈마1동,1.4415476306854573,서구,갈마1동
46,대전광역시,서구 갈마2동,0.814601042730012,서구,갈마2동
47,대전광역시,서구 월평1동,3.147430856734645,서구,월평1동
48,대전광역시,서구 월평2동,0.5546306774530116,서구,월평2동
49,대전광역시,서구 월평3동,0.7300939544650009,서구,월평3동
50,대전광역시,서구 만년동,1.8258607165622067,서구,만년동
51,대전광역시,서구 가수원동,4.682289370098633,서구,가수원동
52,대전광역시,서구 기성동,49.293425590858476,서구,기성동
53,대전광역시,서구 관저1동,1.0125917197795178,서구,관저1동
54,대전광역시,서구 관저2동,4.506847393627828,서구,관저2동
55,대전광역시,서구 둔산3동,0.6814906178900004,서구,둔산3동
56,대전광역시,유성구 진잠동,40.66253217559287,유성구,진잠동
57,대전광역시,유성구 온천2동,7.588041017208654,유성구,온천2동
58,대전광역시,유성구 신성동,29.61640466083066,유성구,신성동
59,대전광역시,유성구 전민동,8.802857326938035,유성구,전민동
60,대전광역시,유성구 노은1동,10.52544676491568,유성구,노은1동
