행정동,잠재적 위험지수
신성동,32.642740965669205
진잠동,32.190438754090295
회덕동,30.50122940427469
노은1동,29.238501111461243
덕암동,28.613795571995098
산내동,28.288186774395086
괴정동,27.964367905574953
갈마2동,27.615111994247084
은행선화동,27.55011926228077
중리동,27.50014723506233
관평동,27.49379998678475
관저2동,27.424417678719216
용전동,27.1676481056244
신탄진동,26.661112995386922
도안동,26.314580027379886
대청동,25.810299145639412
구즉동,25.761186175799892
송촌동,24.815458653926438
전민동,24.37527930369479
용문동,24.278951338099354
오류동,24.22947200773013
학하동,24.1100792858743
대사동,23.648076332260892
노은2동,23.60781483047118
목상동,23.31734557964456
가양2동,23.315342624712734
삼성동,23.068691535068254
둔산1동,22.860207255082315
판암1동,22.70190410891307
효동,22.686382133425177
도마2동,22.602106702017153
정림동,22.27280075894462
노은3동,21.772380664161687
석교동,21.5203089468103
대화동,21.226618063519133
변동,20.990947379789304
성남동,20.707760322127346
용운동,20.506267520930272
자양동,20.350741448208176
유천2동,20.17287361917111
태평2동,19.858192088399957
복수동,19.36090315456037
석봉동,19.196439414426273
관저1동,19.011204228515872
가수원동,18.934761743393906
둔산3동,18.252653525684714
용두동,18.22662620519723
부사동,18.193164909292662
대동,18.159563944962798
문화2동,17.455885896398698
법2동,17.337989321401274
월평3동,16.551472720157086
법1동,15.37500367942856
문창동,14.687687980804075
판암2동,13.937903975664991
목동,13.493096379613753
기성동,13.148340127400562
